,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,74.125.130.0-255,152,152,36,391796
1,2.7e-05,172.31.33.0-255,66,218,36,391796
2,3.4e-05,74.125.130.0-255,1484,1702,36,391796
3,3.8e-05,172.31.33.0-255,66,1768,36,391796
4,4e-05,74.125.130.0-255,1484,3252,36,391796
5,4.2e-05,172.31.33.0-255,66,3318,36,391796
6,6.1e-05,74.125.130.0-255,1484,4802,36,391796
7,6.3e-05,172.31.33.0-255,66,4868,36,391796
8,6.6e-05,74.125.130.0-255,1484,6352,36,391796
9,6.7e-05,172.31.33.0-255,66,6418,36,391796
10,9.1e-05,74.125.130.0-255,4320,10738,36,391796
11,9.4e-05,172.31.33.0-255,66,10804,36,391796
12,0.0001,74.125.130.0-255,3566,14370,36,391796
13,0.000113,172.31.33.0-255,66,14436,36,391796
14,0.000181,74.125.130.0-255,1484,15920,36,391796
15,0.000185,172.31.33.0-255,66,15986,36,391796
16,0.000204,74.125.130.0-255,2902,18888,36,391796
17,0.000207,172.31.33.0-255,66,18954,36,391796
18,0.00021,74.125.130.0-255,2902,21856,36,391796
19,0.000212,172.31.33.0-255,66,21922,36,391796
20,0.000224,74.125.130.0-255,2902,24824,36,391796
21,0.000226,172.31.33.0-255,66,24890,36,391796
22,0.000236,74.125.130.0-255,2902,27792,36,391796
23,0.000238,172.31.33.0-255,66,27858,36,391796
24,0.000249,74.125.130.0-255,2902,30760,36,391796
25,0.000251,172.31.33.0-255,66,30826,36,391796
26,0.000263,74.125.130.0-255,1125,31951,36,391796
27,0.000266,172.31.33.0-255,66,32017,36,391796
28,0.000269,74.125.130.0-255,1484,33501,36,391796
29,0.00027,172.31.33.0-255,66,33567,36,391796
30,0.000298,74.125.130.0-255,5738,39305,36,391796
31,0.0003,172.31.33.0-255,66,39371,36,391796
32,0.000307,74.125.130.0-255,5738,45109,36,391796
33,0.000309,172.31.33.0-255,66,45175,36,391796
34,0.000343,74.125.130.0-255,3961,49136,36,391796
35,0.000346,172.31.33.0-255,66,49202,36,391796
36,0.000428,74.125.130.0-255,1484,50686,36,391796
37,0.000432,74.125.130.0-255,1484,52170,36,391796
38,0.000435,172.31.33.0-255,66,52236,36,391796
39,0.000455,74.125.130.0-255,2902,55138,36,391796
40,0.000457,172.31.33.0-255,66,55204,36,391796
41,0.000489,74.125.130.0-255,5738,60942,36,391796
42,0.000492,172.31.33.0-255,66,61008,36,391796
43,0.000495,74.125.130.0-255,1484,62492,36,391796
44,0.00054,74.125.130.0-255,1484,63976,36,391796
45,0.000543,172.31.33.0-255,66,64042,36,391796
46,0.000558,74.125.130.0-255,2543,66585,36,391796
47,0.000561,172.31.33.0-255,66,66651,36,391796
48,0.000563,74.125.130.0-255,359,67010,36,391796
49,0.000604,74.125.130.0-255,1484,68494,36,391796
50,0.000606,172.31.33.0-255,66,68560,36,391796
51,0.000621,74.125.130.0-255,4320,72880,36,391796
52,0.000624,172.31.33.0-255,66,72946,36,391796
53,0.000642,74.125.130.0-255,1484,74430,36,391796
54,0.000655,74.125.130.0-255,5738,80168,36,391796
55,0.000658,172.31.33.0-255,66,80234,36,391796
56,0.000693,74.125.130.0-255,3699,83933,36,391796
57,0.000697,172.31.33.0-255,66,83999,36,391796
58,0.000908,74.125.130.0-255,1484,85483,36,391796
59,0.000933,74.125.130.0-255,2902,88385,36,391796
60,0.000937,172.31.33.0-255,66,88451,36,391796
61,0.000943,74.125.130.0-255,5738,94189,36,391796
62,0.000944,172.31.33.0-255,66,94255,36,391796
63,0.000947,74.125.130.0-255,1484,95739,36,391796
64,0.000964,74.125.130.0-255,2902,98641,36,391796
65,0.000967,172.31.33.0-255,66,98707,36,391796
66,0.001018,74.125.130.0-255,5738,104445,36,391796
67,0.001021,172.31.33.0-255,66,104511,36,391796
68,0.001024,74.125.130.0-255,1484,105995,36,391796
69,0.001028,74.125.130.0-255,2902,108897,36,391796
70,0.001029,172.31.33.0-255,66,108963,36,391796
71,0.00106,74.125.130.0-255,5738,114701,36,391796
72,0.001064,172.31.33.0-255,66,114767,36,391796
73,0.001067,74.125.130.0-255,2902,117669,36,391796
74,0.001068,172.31.33.0-255,66,117735,36,391796
75,0.001091,74.125.130.0-255,766,118501,36,391796
76,0.001241,74.125.130.0-255,1484,119985,36,391796
77,0.001246,172.31.33.0-255,66,120051,36,391796
78,0.001251,74.125.130.0-255,2902,122953,36,391796
79,0.001253,172.31.33.0-255,66,123019,36,391796
80,0.001256,74.125.130.0-255,1484,124503,36,391796
81,0.001281,74.125.130.0-255,2902,127405,36,391796
82,0.001284,172.31.33.0-255,66,127471,36,391796
83,0.001287,74.125.130.0-255,1484,128955,36,391796
84,0.001313,74.125.130.0-255,7156,136111,36,391796
85,0.001316,172.31.33.0-255,66,136177,36,391796
86,0.001318,74.125.130.0-255,1484,137661,36,391796
87,0.001341,74.125.130.0-255,1484,139145,36,391796
88,0.001345,172.31.33.0-255,66,139211,36,391796
89,0.001376,172.31.33.0-255,66,139277,36,391796
90,0.00138,74.125.130.0-255,3602,142879,36,391796
91,0.001382,172.31.33.0-255,66,142945,36,391796
92,0.001449,74.125.130.0-255,1484,144429,36,391796
93,0.001452,74.125.130.0-255,1484,145913,36,391796
94,0.001457,172.31.33.0-255,66,145979,36,391796
95,0.00147,74.125.130.0-255,2902,148881,36,391796
96,0.001474,172.31.33.0-255,66,148947,36,391796
97,0.001501,74.125.130.0-255,5738,154685,36,391796
98,0.001506,172.31.33.0-255,66,154751,36,391796
99,0.001521,172.31.33.0-255,66,154817,36,391796
100,0.001534,74.125.130.0-255,2902,157719,36,391796
101,0.001536,172.31.33.0-255,66,157785,36,391796
102,0.001577,74.125.130.0-255,4320,162105,36,391796
103,0.00158,172.31.33.0-255,66,162171,36,391796
104,0.001598,74.125.130.0-255,6438,168609,36,391796
