,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,172.31.36.0-255,74,74,19,2991
1,0.001737,157.240.13.0-255,74,148,19,2991
2,0.00177,172.31.36.0-255,66,214,19,2991
3,0.003405,172.31.36.0-255,606,820,19,2991
4,0.005134,157.240.13.0-255,66,886,19,2991
5,0.005452,157.240.13.0-255,278,1164,19,2991
6,0.005475,172.31.36.0-255,66,1230,19,2991
7,0.006107,172.31.36.0-255,130,1360,19,2991
8,0.007517,172.31.36.0-255,236,1596,19,2991
9,0.007547,172.31.36.0-255,532,2128,19,2991
10,0.007909,157.240.13.0-255,230,2358,19,2991
11,0.007974,157.240.13.0-255,140,2498,19,2991
12,0.008494,172.31.36.0-255,66,2564,19,2991
13,0.008572,172.31.36.0-255,97,2661,19,2991
14,0.00925,157.240.13.0-255,66,2727,19,2991
15,0.009316,157.240.13.0-255,97,2824,19,2991
16,0.009633,157.240.13.0-255,101,2925,19,2991
17,0.011774,172.31.36.0-255,66,2991,19,2991
18,0.0,172.31.36.0-255,74,74,19,74
19,0.0,74.125.68.0-255,66,66,19,140
20,0.013904,172.31.36.0-255,74,140,19,140
21,0.0,172.31.36.0-255,74,74,19,2929
22,0.001592,157.240.13.0-255,74,148,19,2929
23,0.00162,172.31.36.0-255,66,214,19,2929
24,0.00317,172.31.36.0-255,606,820,19,2929
25,0.004642,157.240.13.0-255,66,886,19,2929
26,0.005054,157.240.13.0-255,278,1164,19,2929
27,0.005065,172.31.36.0-255,66,1230,19,2929
28,0.005723,172.31.36.0-255,130,1360,19,2929
29,0.007283,157.240.13.0-255,230,1590,19,2929
30,0.00734,157.240.13.0-255,140,1730,19,2929
31,0.007441,172.31.36.0-255,236,1966,19,2929
32,0.007466,172.31.36.0-255,536,2502,19,2929
33,0.008901,157.240.13.0-255,66,2568,19,2929
34,0.008933,157.240.13.0-255,97,2665,19,2929
35,0.009251,172.31.36.0-255,97,2762,19,2929
36,0.009438,157.240.13.0-255,101,2863,19,2929
37,0.046947,172.31.36.0-255,66,2929,19,2929
38,0.0,172.217.160.0-255,150,150,19,663
39,1.4e-05,172.217.160.0-255,97,247,19,663
40,3.6e-05,172.217.160.0-255,105,352,19,663
41,0.002033,172.31.36.0-255,66,418,19,663
42,0.00208,172.31.36.0-255,105,523,19,663
43,0.007442,172.217.160.0-255,66,589,19,663
44,0.040231,172.31.36.0-255,74,663,19,663
45,0.0,172.31.36.0-255,74,74,19,74
46,0.0,172.31.36.0-255,74,74,19,2992
47,0.002016,157.240.13.0-255,74,148,19,2992
48,0.002031,172.31.36.0-255,66,214,19,2992
49,0.004215,172.31.36.0-255,606,820,19,2992
50,0.006222,157.240.13.0-255,66,886,19,2992
51,0.006493,157.240.13.0-255,278,1164,19,2992
52,0.006502,172.31.36.0-255,66,1230,19,2992
53,0.007478,172.31.36.0-255,130,1360,19,2992
54,0.009554,157.240.13.0-255,230,1590,19,2992
55,0.0096,157.240.13.0-255,140,1730,19,2992
56,0.010383,172.31.36.0-255,66,1796,19,2992
57,0.010605,172.31.36.0-255,236,2032,19,2992
58,0.01063,172.31.36.0-255,533,2565,19,2992
59,0.011474,172.31.36.0-255,97,2662,19,2992
60,0.012627,157.240.13.0-255,66,2728,19,2992
61,0.012652,157.240.13.0-255,97,2825,19,2992
62,0.012931,157.240.13.0-255,101,2926,19,2992
63,0.012995,172.31.36.0-255,66,2992,19,2992
64,0.0,157.240.13.0-255,74,74,19,2984
65,1.7e-05,172.31.36.0-255,66,140,19,2984
66,0.002585,74.125.24.0-255,66,206,19,2984
67,0.003151,172.31.36.0-255,606,812,19,2984
68,0.004853,157.240.13.0-255,66,878,19,2984
69,0.005157,157.240.13.0-255,278,1156,19,2984
70,0.005166,172.31.36.0-255,66,1222,19,2984
71,0.006574,172.31.36.0-255,130,1352,19,2984
72,0.008336,157.240.13.0-255,230,1582,19,2984
73,0.008396,157.240.13.0-255,140,1722,19,2984
74,0.01102,172.31.36.0-255,66,1788,19,2984
75,0.011256,172.31.36.0-255,236,2024,19,2984
76,0.01128,172.31.36.0-255,533,2557,19,2984
77,0.011965,172.31.36.0-255,97,2654,19,2984
78,0.012979,157.240.13.0-255,66,2720,19,2984
79,0.012987,157.240.13.0-255,97,2817,19,2984
80,0.013352,157.240.13.0-255,101,2918,19,2984
81,0.01531,172.31.36.0-255,66,2984,19,2984
82,0.0,172.31.36.0-255,74,74,19,74
83,0.0,172.31.36.0-255,74,74,19,2991
84,0.001738,157.240.13.0-255,74,148,19,2991
85,0.001755,172.31.36.0-255,66,214,19,2991
86,0.007369,172.31.36.0-255,606,820,19,2991
87,0.0091,157.240.13.0-255,66,886,19,2991
88,0.009398,157.240.13.0-255,278,1164,19,2991
89,0.00941,172.31.36.0-255,66,1230,19,2991
90,0.010202,172.31.36.0-255,130,1360,19,2991
91,0.012335,172.31.36.0-255,236,1596,19,2991
92,0.012365,172.31.36.0-255,532,2128,19,2991
93,0.01296,157.240.13.0-255,230,2358,19,2991
