,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,104.244.42.0-255,66,66,38,66
1,0.0,157.240.7.0-255,66,66,38,132
2,0.010914,104.244.42.0-255,66,132,38,132
3,0.0,157.240.7.0-255,66,66,38,132
4,0.014558,104.244.42.0-255,66,132,38,132
5,0.0,104.244.42.0-255,66,66,38,198
6,0.015993,31.13.82.0-255,66,132,38,198
7,0.020438,31.13.82.0-255,66,198,38,198
8,0.0,157.240.7.0-255,66,66,38,132
9,0.011375,104.244.42.0-255,66,132,38,132
10,0.0,157.240.7.0-255,66,66,38,132
11,0.011668,104.244.42.0-255,66,132,38,132
12,0.0,157.240.7.0-255,66,66,38,132
13,0.013967,104.244.42.0-255,66,132,38,132
14,0.0,157.240.7.0-255,66,66,38,132
15,0.016395,104.244.42.0-255,66,132,38,132
16,0.0,157.240.7.0-255,66,66,38,132
17,0.010702,104.244.42.0-255,66,132,38,132
18,0.0,104.244.42.0-255,66,66,38,66
19,0.0,157.240.7.0-255,66,66,38,132
20,0.008416,104.244.42.0-255,66,132,38,132
21,0.0,157.240.7.0-255,66,66,38,132
22,0.012961,104.244.42.0-255,66,132,38,132
23,0.0,157.240.13.0-255,66,66,38,132
24,0.018919,104.244.42.0-255,66,132,38,132
25,0.0,104.244.42.0-255,66,66,38,198
26,0.013012,31.13.82.0-255,66,132,38,198
27,0.016963,31.13.82.0-255,66,198,38,198
28,0.0,157.240.7.0-255,66,66,38,132
29,0.011525,104.244.42.0-255,66,132,38,132
30,0.0,157.240.7.0-255,66,66,38,132
31,0.009546,104.244.42.0-255,66,132,38,132
32,0.0,104.244.42.0-255,66,66,38,198
33,0.014057,31.13.82.0-255,66,132,38,198
34,0.019781,31.13.82.0-255,66,198,38,198
35,0.0,104.244.42.0-255,66,66,38,198
36,0.017732,31.13.82.0-255,66,132,38,198
37,0.022448,31.13.82.0-255,66,198,38,198
38,0.0,157.240.7.0-255,66,66,38,132
39,0.010427,104.244.42.0-255,66,132,38,132
40,0.0,104.244.42.0-255,66,66,38,198
41,0.020859,31.13.82.0-255,66,132,38,198
42,0.024662,31.13.82.0-255,66,198,38,198
43,0.0,104.244.42.0-255,66,66,38,198
44,0.020147,31.13.82.0-255,66,132,38,198
45,0.024544,31.13.82.0-255,66,198,38,198
46,0.0,157.240.7.0-255,66,66,38,132
47,0.013169,104.244.42.0-255,66,132,38,132
48,0.0,157.240.13.0-255,66,66,38,264
49,0.011367,104.244.42.0-255,66,132,38,264
50,0.02497,31.13.82.0-255,66,198,38,264
51,0.028986,31.13.82.0-255,66,264,38,264
52,0.0,157.240.7.0-255,66,66,38,132
53,0.009706,104.244.42.0-255,66,132,38,132
54,0.0,157.240.13.0-255,66,66,38,198
55,0.008773,104.244.42.0-255,66,132,38,198
56,0.026117,31.13.82.0-255,66,198,38,198
57,0.0,157.240.7.0-255,66,66,38,132
58,0.008515,104.244.42.0-255,66,132,38,132
59,0.0,172.31.33.0-255,121,121,38,601
60,0.001751,157.240.13.0-255,66,187,38,601
61,0.004339,172.31.33.0-255,96,283,38,601
62,0.004998,172.31.33.0-255,101,384,38,601
63,0.006054,157.240.13.0-255,66,450,38,601
64,0.018864,172.31.33.0-255,151,601,38,601
65,0.0,172.31.33.0-255,151,151,38,217
66,0.028987,31.13.82.0-255,66,217,38,217
67,0.0,157.240.7.0-255,66,66,38,132
68,0.01163,104.244.42.0-255,66,132,38,132
69,0.0,104.244.42.0-255,66,66,38,198
70,0.021767,31.13.82.0-255,66,132,38,198
71,0.026802,31.13.82.0-255,66,198,38,198
72,0.0,172.31.33.0-255,201,201,38,267
73,0.016145,157.240.13.0-255,66,267,38,267
