,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,172.253.118.0-255,296,296,63,309195
1,1.6e-05,172.31.40.0-255,66,362,63,309195
2,2.3e-05,172.253.118.0-255,1484,1846,63,309195
3,2.7e-05,172.31.40.0-255,66,1912,63,309195
4,4e-05,172.253.118.0-255,4320,6232,63,309195
5,4.4e-05,172.31.40.0-255,66,6298,63,309195
6,5.5e-05,172.31.40.0-255,66,6364,63,309195
7,9.3e-05,172.253.118.0-255,1484,7848,63,309195
8,9.6e-05,172.31.40.0-255,66,7914,63,309195
9,0.000125,172.253.118.0-255,2902,10816,63,309195
10,0.000127,172.31.40.0-255,66,10882,63,309195
11,0.000148,172.253.118.0-255,4320,15202,63,309195
12,0.00015,172.31.40.0-255,66,15268,63,309195
13,0.000156,172.253.118.0-255,4320,19588,63,309195
14,0.000158,172.31.40.0-255,66,19654,63,309195
15,0.00018,172.253.118.0-255,1484,21138,63,309195
16,0.000182,172.31.40.0-255,66,21204,63,309195
17,0.000187,172.253.118.0-255,2543,23747,63,309195
18,0.000195,172.31.40.0-255,66,23813,63,309195
19,0.000376,172.253.118.0-255,1484,25297,63,309195
20,0.000381,172.31.40.0-255,66,25363,63,309195
21,0.000409,172.253.118.0-255,2902,28265,63,309195
22,0.000413,172.31.40.0-255,66,28331,63,309195
23,0.000419,172.253.118.0-255,5738,34069,63,309195
24,0.000422,172.31.40.0-255,66,34135,63,309195
25,0.000458,172.253.118.0-255,6797,40932,63,309195
26,0.000461,172.31.40.0-255,66,40998,63,309195
27,0.000468,172.253.118.0-255,7156,48154,63,309195
28,0.00047,172.31.40.0-255,66,48220,63,309195
29,0.000516,172.31.40.0-255,66,48286,63,309195
30,0.000518,172.253.118.0-255,402,48688,63,309195
31,0.0006,172.253.118.0-255,342,49030,63,309195
32,0.000821,172.253.118.0-255,1484,50514,63,309195
33,0.000827,172.31.40.0-255,66,50580,63,309195
34,0.000833,172.253.118.0-255,2902,53482,63,309195
35,0.000835,172.31.40.0-255,66,53548,63,309195
36,0.000845,172.253.118.0-255,2902,56450,63,309195
37,0.000847,172.31.40.0-255,66,56516,63,309195
38,0.000864,172.253.118.0-255,5738,62254,63,309195
39,0.000866,172.31.40.0-255,66,62320,63,309195
40,0.000894,172.253.118.0-255,1484,63804,63,309195
41,0.0009,172.253.118.0-255,3961,67765,63,309195
42,0.000902,172.31.40.0-255,66,67831,63,309195
43,0.000908,172.253.118.0-255,4320,72151,63,309195
44,0.00091,172.31.40.0-255,66,72217,63,309195
45,0.000914,172.253.118.0-255,2902,75119,63,309195
46,0.000917,172.31.40.0-255,66,75185,63,309195
47,0.000955,172.253.118.0-255,7156,82341,63,309195
48,0.000959,172.31.40.0-255,66,82407,63,309195
49,0.000961,172.253.118.0-255,1125,83532,63,309195
50,0.001537,172.31.40.0-255,66,83598,63,309195
51,0.001747,172.253.118.0-255,1484,85082,63,309195
52,0.001755,172.253.118.0-255,1484,86566,63,309195
53,0.001759,172.31.40.0-255,66,86632,63,309195
54,0.001773,172.253.118.0-255,1484,88116,63,309195
55,0.001785,172.253.118.0-255,5738,93854,63,309195
56,0.001787,172.31.40.0-255,66,93920,63,309195
57,0.00183,172.31.40.0-255,66,93986,63,309195
58,0.00186,172.253.118.0-255,5738,99724,63,309195
59,0.001862,172.31.40.0-255,66,99790,63,309195
60,0.001889,172.253.118.0-255,5020,104810,63,309195
61,0.001891,172.31.40.0-255,66,104876,63,309195
62,0.001912,172.253.118.0-255,5738,110614,63,309195
63,0.001916,172.31.40.0-255,66,110680,63,309195
64,0.001923,172.253.118.0-255,7156,117836,63,309195
65,0.001925,172.31.40.0-255,66,117902,63,309195
66,0.001973,172.31.40.0-255,66,117968,63,309195
67,0.001981,172.253.118.0-255,6438,124406,63,309195
68,0.001983,172.31.40.0-255,66,124472,63,309195
69,0.002019,172.253.118.0-255,1484,125956,63,309195
70,0.002039,172.253.118.0-255,2902,128858,63,309195
71,0.002041,172.31.40.0-255,66,128924,63,309195
72,0.002046,172.253.118.0-255,2902,131826,63,309195
73,0.002048,172.31.40.0-255,66,131892,63,309195
74,0.002052,172.253.118.0-255,1484,133376,63,309195
75,0.002075,172.253.118.0-255,2902,136278,63,309195
76,0.002077,172.31.40.0-255,66,136344,63,309195
77,0.002094,172.31.40.0-255,66,136410,63,309195
78,0.002139,172.31.40.0-255,66,136476,63,309195
79,0.002194,172.253.118.0-255,1484,137960,63,309195
80,0.002209,172.253.118.0-255,2902,140862,63,309195
81,0.002212,172.31.40.0-255,66,140928,63,309195
82,0.002218,172.253.118.0-255,5738,146666,63,309195
83,0.002221,172.31.40.0-255,66,146732,63,309195
84,0.002264,172.31.40.0-255,66,146798,63,309195
85,0.002271,172.253.118.0-255,7156,153954,63,309195
86,0.002274,172.31.40.0-255,66,154020,63,309195
87,0.002302,172.253.118.0-255,3602,157622,63,309195
88,0.002304,172.31.40.0-255,66,157688,63,309195
89,0.004539,172.253.118.0-255,1484,159172,63,309195
90,0.00456,172.253.118.0-255,4320,163492,63,309195
91,0.004566,172.31.40.0-255,66,163558,63,309195
92,0.006869,172.253.118.0-255,5738,169296,63,309195
93,0.006875,172.31.40.0-255,66,169362,63,309195
94,0.009212,172.253.118.0-255,5738,175100,63,309195
95,0.009219,172.31.40.0-255,66,175166,63,309195
96,0.011521,172.253.118.0-255,5738,180904,63,309195
97,0.011541,172.31.40.0-255,66,180970,63,309195
98,0.013842,172.253.118.0-255,5738,186708,63,309195
99,0.013856,172.31.40.0-255,66,186774,63,309195
