,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,172.31.40.0-255,74,74,65,820
1,0.072123,31.13.82.0-255,74,148,65,820
2,0.072145,172.31.40.0-255,66,214,65,820
3,0.073935,172.31.40.0-255,606,820,65,820
4,0.0,172.31.40.0-255,74,74,65,3160
5,0.001438,157.240.7.0-255,74,148,65,3160
6,0.001457,172.31.40.0-255,66,214,65,3160
7,0.003108,172.31.40.0-255,606,820,65,3160
8,0.004518,172.31.40.0-255,66,886,65,3160
9,0.004552,157.240.7.0-255,66,952,65,3160
10,0.004873,157.240.7.0-255,278,1230,65,3160
11,0.004884,172.31.40.0-255,66,1296,65,3160
12,0.005491,172.31.40.0-255,130,1426,65,3160
13,0.006744,172.31.40.0-255,236,1662,65,3160
14,0.006773,172.31.40.0-255,569,2231,65,3160
15,0.006988,157.240.7.0-255,230,2461,65,3160
16,0.007042,157.240.7.0-255,140,2601,65,3160
17,0.007846,172.31.40.0-255,66,2667,65,3160
18,0.00794,172.31.40.0-255,97,2764,65,3160
19,0.008197,157.240.7.0-255,66,2830,65,3160
20,0.008216,157.240.7.0-255,97,2927,65,3160
21,0.008537,157.240.7.0-255,101,3028,65,3160
22,0.00857,172.31.40.0-255,66,3094,65,3160
23,0.050015,157.240.7.0-255,66,3160,65,3160
24,0.0,172.31.40.0-255,74,74,65,3090
25,0.00144,157.240.7.0-255,74,148,65,3090
26,0.001461,172.31.40.0-255,66,214,65,3090
27,0.003187,172.31.40.0-255,606,820,65,3090
28,0.004611,157.240.7.0-255,66,886,65,3090
29,0.004942,157.240.7.0-255,278,1164,65,3090
30,0.004955,172.31.40.0-255,66,1230,65,3090
31,0.006512,172.31.40.0-255,130,1360,65,3090
32,0.008025,157.240.7.0-255,230,1590,65,3090
33,0.008078,157.240.7.0-255,140,1730,65,3090
34,0.009761,172.31.40.0-255,66,1796,65,3090
35,0.00999,172.31.40.0-255,236,2032,65,3090
36,0.010021,172.31.40.0-255,565,2597,65,3090
37,0.010786,172.31.40.0-255,97,2694,65,3090
38,0.01143,157.240.7.0-255,66,2760,65,3090
39,0.011451,157.240.7.0-255,97,2857,65,3090
40,0.011795,157.240.7.0-255,101,2958,65,3090
41,0.011992,172.31.40.0-255,66,3024,65,3090
42,0.053201,157.240.7.0-255,66,3090,65,3090
43,0.0,172.31.40.0-255,74,74,65,820
44,0.074481,31.13.82.0-255,74,148,65,820
45,0.074513,172.31.40.0-255,66,214,65,820
46,0.076335,172.31.40.0-255,606,820,65,820
47,0.0,172.31.40.0-255,74,74,65,3093
48,0.001747,157.240.7.0-255,74,148,65,3093
49,0.001766,172.31.40.0-255,66,214,65,3093
50,0.003369,172.31.40.0-255,606,820,65,3093
51,0.005088,157.240.7.0-255,66,886,65,3093
52,0.005375,157.240.7.0-255,278,1164,65,3093
53,0.005386,172.31.40.0-255,66,1230,65,3093
54,0.006037,172.31.40.0-255,130,1360,65,3093
55,0.007386,172.31.40.0-255,236,1596,65,3093
56,0.007418,172.31.40.0-255,568,2164,65,3093
57,0.007829,157.240.7.0-255,230,2394,65,3093
58,0.007885,157.240.7.0-255,140,2534,65,3093
59,0.007995,172.31.40.0-255,66,2600,65,3093
60,0.008077,172.31.40.0-255,97,2697,65,3093
61,0.009151,157.240.7.0-255,66,2763,65,3093
62,0.009157,157.240.7.0-255,97,2860,65,3093
63,0.009455,157.240.7.0-255,101,2961,65,3093
64,0.009515,172.31.40.0-255,66,3027,65,3093
65,0.050313,157.240.7.0-255,66,3093,65,3093
66,0.0,172.31.40.0-255,74,74,65,3094
67,0.002025,157.240.7.0-255,74,148,65,3094
68,0.002044,172.31.40.0-255,66,214,65,3094
69,0.003659,172.31.40.0-255,606,820,65,3094
70,0.005688,157.240.7.0-255,66,886,65,3094
71,0.00596,157.240.7.0-255,278,1164,65,3094
72,0.005968,172.31.40.0-255,66,1230,65,3094
73,0.00665,172.31.40.0-255,130,1360,65,3094
74,0.007973,172.31.40.0-255,236,1596,65,3094
75,0.008002,172.31.40.0-255,569,2165,65,3094
76,0.008731,157.240.7.0-255,230,2395,65,3094
77,0.008795,157.240.7.0-255,140,2535,65,3094
78,0.009574,172.31.40.0-255,66,2601,65,3094
79,0.009609,172.31.40.0-255,97,2698,65,3094
80,0.010011,157.240.7.0-255,66,2764,65,3094
81,0.010019,157.240.7.0-255,97,2861,65,3094
82,0.010428,157.240.7.0-255,101,2962,65,3094
83,0.010488,172.31.40.0-255,66,3028,65,3094
84,0.053389,157.240.7.0-255,66,3094,65,3094
85,0.0,172.31.40.0-255,74,74,65,3092
86,0.001722,157.240.7.0-255,74,148,65,3092
87,0.00174,172.31.40.0-255,66,214,65,3092
88,0.003427,172.31.40.0-255,606,820,65,3092
89,0.005137,157.240.7.0-255,66,886,65,3092
90,0.005651,157.240.7.0-255,278,1164,65,3092
91,0.00566,172.31.40.0-255,66,1230,65,3092
92,0.009276,172.31.40.0-255,130,1360,65,3092
93,0.010549,172.31.40.0-255,236,1596,65,3092
94,0.010577,172.31.40.0-255,567,2163,65,3092
95,0.011056,157.240.7.0-255,230,2393,65,3092
96,0.011093,157.240.7.0-255,140,2533,65,3092
97,0.011166,172.31.40.0-255,66,2599,65,3092
98,0.011235,172.31.40.0-255,97,2696,65,3092
99,0.012284,157.240.7.0-255,66,2762,65,3092
100,0.012292,157.240.7.0-255,97,2859,65,3092
101,0.012559,157.240.7.0-255,101,2960,65,3092
102,0.012651,172.31.40.0-255,66,3026,65,3092
103,0.053295,157.240.7.0-255,66,3092,65,3092
104,0.0,172.31.40.0-255,74,74,65,820
105,0.067944,31.13.82.0-255,74,148,65,820
106,0.067978,172.31.40.0-255,66,214,65,820
107,0.069714,172.31.40.0-255,606,820,65,820
108,0.0,172.31.40.0-255,74,74,65,3091
109,0.001459,157.240.7.0-255,74,148,65,3091
110,0.001479,172.31.40.0-255,66,214,65,3091
111,0.0032,172.31.40.0-255,606,820,65,3091
112,0.004626,157.240.7.0-255,66,886,65,3091
113,0.004893,157.240.7.0-255,278,1164,65,3091
114,0.0049,172.31.40.0-255,66,1230,65,3091
115,0.009049,172.31.40.0-255,130,1360,65,3091
116,0.010428,172.31.40.0-255,236,1596,65,3091
117,0.010465,172.31.40.0-255,566,2162,65,3091
118,0.01054,157.240.7.0-255,230,2392,65,3091
119,0.010593,157.240.7.0-255,140,2532,65,3091
120,0.011148,172.31.40.0-255,66,2598,65,3091
121,0.01123,172.31.40.0-255,97,2695,65,3091
122,0.011878,157.240.7.0-255,66,2761,65,3091
123,0.011916,157.240.7.0-255,97,2858,65,3091
124,0.012191,157.240.7.0-255,101,2959,65,3091
125,0.013313,172.31.40.0-255,66,3025,65,3091
126,0.053449,157.240.7.0-255,66,3091,65,3091
127,0.0,172.31.40.0-255,74,74,65,74
128,0.0,157.240.7.0-255,230,230,65,1860
129,4.5e-05,157.240.7.0-255,140,370,65,1860
130,0.006131,172.31.40.0-255,66,436,65,1860
131,0.006702,157.240.7.0-255,140,576,65,1860
132,0.006713,172.31.40.0-255,78,654,65,1860
133,0.006762,172.31.40.0-255,236,890,65,1860
134,0.006781,172.31.40.0-255,565,1455,65,1860
135,0.007191,172.31.40.0-255,97,1552,65,1860
136,0.008481,157.240.7.0-255,66,1618,65,1860
137,0.008852,157.240.7.0-255,110,1728,65,1860
138,0.046366,172.31.40.0-255,66,1794,65,1860
139,0.049675,157.240.7.0-255,66,1860,65,1860
140,0.0,172.31.40.0-255,74,74,65,3003
